# TGAutoSign 全文翻译真相源（中文<TAB>英文）
群	Group
回调调试台 · uid={0} msg={1} 按钮 {2} 个\n点任意按钮=实时发一次该回调并看返回；不放心先「重新采样」	Callback console · uid={0} msg={1} · {2} buttons\nTap any button to fire that callback once and see the reply; if unsure, tap "Re-sample" first.
将删除【所有账号】的全部签到目标与已签/重试状态，仅保留关键词/重试上限/唤醒命令设置。此操作不可撤销，建议先导出配置备份。	This deletes every signing target and all signed/retry state on ALL accounts, keeping only keyword, retry-limit and wake-command settings. It cannot be undone — export a config backup first.
判断 bot 回复成功/失败用的词。内置了一批常见词；认不出来的回复会记进诊断包，\n见到「未识别回复」就在这加上对应措辞即可。	Words used to tell whether the bot reply means success or failure. Common ones are built in; unrecognized replies are recorded in the diagnostics package — when you see one, add its wording here.
开：点什么学什么（不再按关键词过滤），且**只要机器人有回复就算成功**。\n适合判定词千奇百怪的机器人。关：按下面的规则判定。	On: learn whatever you tap (no keyword filter) and treat **any reply as success**.\\nFor bots with unpredictable wording. Off: judge using the rules below.
开：点什么学什么（不再按关键词过滤），且**只要机器人有回复就算成功**。\\n适合判定词千奇百怪的机器人。关：按下面的规则判定。	On: learn whatever you tap (no keyword filter) and treat **any reply as success**.\\nFor bots with unpredictable wording. Off: judge using the rules below.
提示：同一 bot 可添加多条指令（多指令自动签到）；\n回调按钮型签到无需手动添加——直接点一次 bot 的签到按钮即可自动学习。	Tip: one bot can have several commands (all signed automatically);\ncallback-style sign-ins need no manual setup — just tap the bot's sign-in button once and it is learned.
匹配 bot 回复正文 + 按钮文案。普通关键词按子串（不分大小写）；\n用 / 包裹当正则，如 /^每日.*点击/ 。# 开头为注释。	Matches the bot's reply text and button labels. Plain keywords match as substrings (case-insensitive);\nwrap in / for a regex, e.g. /^daily.*tap/ . Lines starting with # are comments.
条目操作里有「暂停一周 / 恢复」：暂停后该目标一周内不动作，到期自动恢复。适合出差、bot 维护、或暂时不想被签的场合，不用删掉再加回来。	Under "Entry actions" there is "Pause 1 week / Resume": a paused target does nothing for a week and resumes automatically. Useful when travelling, when a bot is under maintenance, or when you simply don't want it signed for now — no need to delete and re-add it.
选一份备份导入。导入前会显示它的内容，导入后会告诉你目标数有没有变化。\n合并 = 只覆盖文件里有的键；覆盖 = 先清掉现有目标和状态再导入。	Pick a backup to import. Its contents are shown first, and afterwards you'll see whether the target count changed.\nMerge = only overwrite keys present in the file; Replace = clear existing targets and state first.
设置里可选主题：自动（跟随 Telegram 主题，推荐）/ 始终日间 / 始终夜间。界面配色由 TG 当前主题决定，切换 TG 主题面板会跟着变。	In Settings you can choose a theme: Auto (follows Telegram, recommended) / Always light / Always dark. The panel colours follow Telegram's current theme and update when you switch it.
有的 bot 不主动发签到面板。在该条目的「编辑」里填“前置命令序列”（逗号或换行分隔，可多条，如 /start, 菜单）。签到或测试时会先依次发送把面板拉出来，再点按钮。	Some bots won't show the sign-in panel on their own. In that entry's "Edit", fill in a pre-command sequence (comma- or newline-separated, e.g. /start, menu). When signing or testing, these are sent first to pull up the panel, then the button is tapped.
每个账号的目标和“今天是否已签”各自独立。Telegram 里切到哪个账号，面板就是那个账号的目标，发送签到也跟随当前账号，不会替后台账号乱发。首页会显示其它账号各有几个目标。	Each account keeps its own targets and its own "signed today" state. Whichever account you switch to in Telegram, the panel shows that account's targets and signing follows the current account — no stray sends on behalf of background accounts. The home screen also shows how many targets the other accounts have.
没有找到备份文件。\n\n备份放在这里：\nAndroid/data/{0}/files/tgautosign/\n（在 /jmb → 📤 导出配置 里生成，也可以手动把 json 拷进去）	No backup files found.\n\nBackups live here:\nAndroid/data/{0}/files/tgautosign/\n(created via /jmb → 📤 Export config; you can also copy a JSON file in manually)
任意聊天（含收藏夹）输入框发 /jmb 即可。面板顶部是今日进度与最近日志，中间 6 个高频入口，最下一行「全部功能」是分类直达：目标 / 数据 / 系统 / 帮助 / 维护，横滑点一下直接进对应分组。	Type /jmb in any chat (Saved Messages works too). The top shows today's progress and recent logs, the middle row holds 6 frequently used entries, and the bottom "All features" row jumps straight to each category: Targets / Data / System / Help / Maintenance. Swipe sideways and tap to open a group.
① 任意聊天输入框发 /jmb 打开面板 → ② 点「添加目标」加一个你要签的 bot → ③ 剩下的它自己办：每天在设定时段内自动签，失败自动重试，结果发到你自己的收藏夹。不需要开着 Telegram。	1. Type /jmb in any chat to open the panel. 2. Tap "Add target" to add a bot you want to sign in for. 3. The module handles the rest: it signs automatically during your chosen window, retries on failure, and sends the result to your own Saved Messages. Telegram does not need to stay open.
开：点什么学什么（不再按关键词过滤）；判定时**只要机器人有回复就算成功**，\n但命中明确失败词（活动已结束 / 请先关注 / 未绑定 等）仍判失败。\n适合判定词千奇百怪的机器人。关：完全按下面的规则判定。	On: learn whatever you tap (no keyword filter), and **treat any reply as success** when judging — except replies that clearly mean failure (event ended / follow first / not linked, etc.), which still fail.\nFor bots with unpredictable wording. Off: judge purely by the rules below.
设置 → 学习行为：「按钮学习」开启后，你在 bot 里点过的按钮会自动加进目标；「网络学习」自动识别你发的签到文本。\n「关键词过滤」默认关闭（点过的都能绑）；开启后只有文案命中「学习关键词」的按钮才自动加，防误加。	Settings → Learning: with "Button learning" on, buttons you tap in a bot are added to targets automatically; "Network learning" detects sign-in texts you send.\n"Keyword filter" is off by default (anything you tap gets bound); when on, only buttons whose text matches your learning keywords are added, to avoid false positives.
设置 →「签到结果通知」开启后，每天的签到摘要会静默发到你自己的 Telegram 收藏夹（不弹系统通知、不需要通知权限）。只想出问题时被打扰，就打开「只通知失败」。\n连续 3 天签到失败会额外告警一次，不会天天刷屏。	With Settings → "Sign-in result notification" on, a daily summary is quietly sent to your own Saved Messages (no system notification, no permission needed). Turn on "Failures only" if you only want to hear about problems.\nA target failing 3 days in a row triggers one extra alert — it won't spam you daily.
「导出配置」生成 json 到下载目录，新设备用「导入配置」还原（导入是合并，不是覆盖）。配置里不含任何登录凭据。\n「导出日志」把运行日志导出到下载目录，方便留档或发给作者。\n删不干净时用「清空配置」，会跨全部账号彻底清。	"Export config" writes a JSON file to Downloads; on a new device use "Import config" to restore it (import merges, it does not overwrite). The file contains no credentials.\n"Export logs" writes the run log to Downloads for archiving or sending to the author.\nIf removal isn't clean, "Clear config" wipes everything across all accounts.
用于在「群 / 频道」里发签到指令（不是私聊 bot）。\n\n群 ID 怎么拿？三种办法：\n① 点下面「从会话列表选群」→ 自动填 ID（推荐）\n② 直接去那个群点一次签到按钮 → 自动识别添加\n③ 群里长按任意消息转发给 @userinfobot 也可查（备用）	For sending a sign-in command in a group / channel (not a private bot chat).\n\nHow to get the group ID — three ways:\n1. Tap "Pick a group from chats" below → the ID is filled in for you (recommended)\n2. Just go to that group and tap its sign-in button once → added automatically\n3. Long-press any message there and forward it to @userinfobot (fallback)
· 首页进度：当前账号今天签了几个。\n· 今日计划：设置 →「查看今日计划」，每个目标一行，已签显示实际时刻（绿），待签显示计划时刻（琥珀）。\n· 补签列表：今日待补 / 已补 / 已跳过 / 错过，以及窗口与补签状态。\n· 运行日志：每次动作的完整记录，可按级别和目标筛选。	· Home progress: how many targets were signed today for the current account.\n· Today's plan: Settings → "Today's plan". One row per target; signed ones show the actual time (green), pending ones show the planned time (amber).\n· Make-up list: pending / done / skipped / missed today, plus window and make-up status.\n· Logs: the full record of every action, filterable by level and target.
运行日志固定「最新在最上」，打开即定位到最新那条；往下滑看更早的，「加载更多」每次多取 300 条。\n顶部芯片可按级别（全部 / 只看重要 / 只看错误）和目标过滤；「回到最新」一键回顶。\n颜色：红 = 错误，黄 = 警告，绿 = 成功，灰 = 普通，暗灰 = 调试。长按某行可复制。	Logs always show the newest line at the top. Swipe down for older entries; "Load more" fetches 300 more each time.\nChips at the top filter by level (all / important / errors) and by target; "Back to latest" jumps to the top.\nColours: red = error, amber = warning, green = success, grey = normal, dark grey = debug. Long-press a line to copy it.
· 定时签到：开启后只在「签到时间」窗口内动作，窗口外所有自动触发一律不响应。\n· 签到时间：两端可点，例如 08:30-20:30。\n· 错开间隔：0 = 按目标数自动均分；设 N 分钟则相邻目标至少隔 N 分钟再随机，防风控节奏自己定。\n· 错过补签 + 补签截止：当天错过仍可补到该时刻（默认 23:00），避免白白作废。	· Timer: when on, the module only acts inside your "signing window"; nothing triggers outside it.\n· Signing window: tap either end to set, e.g. 08:30-20:30.\n· Spacing interval: 0 = spread evenly by target count; set N minutes to force at least N minutes between targets, then randomize.\n· Missed make-up + deadline: missed targets can still be signed up to the deadline (default 23:00) instead of being skipped for the day.
· 文本指令：知道 bot 要求的签到文本（如 /checkin）时用，填机器人数字 ID + 指令，到点自动发。\n· 回调按钮（推荐）：这类要“点按钮”。去那个 bot 会话点一次它的签到按钮，模块会自动认出并记住，以后每天替你点。绑定不受关键词限制。\n· 群 / 频道：签到在群里发指令时用，填群 ID（形如 -1001234567890）。\n不确定 bot ID 时，用「从会话列表选群」直接挑。	· Text command: use this when the bot expects a command such as /checkin. Enter the bot's numeric ID and the command; it is sent automatically at the scheduled time.\n· Callback button (recommended): for bots that need a button tapped. Open that bot's chat and tap its sign-in button once — the module learns it and taps it for you every day. Binding is not limited by keywords.\n· Group / channel: for sign-ins you trigger from a group. Enter the group ID (like -1001234567890).\nIf you don't know the bot ID, use "Pick a group from chats".
①「自诊断」：列出宿主反射锚点是否正常，第三方客户端（Nagram XF / Nagram / ExteraLess）适配先看这里。\n②「回调调试台」：列出面板全部按钮，点任意一个实时发一次看机器人返回，用来确认哪个按钮才对。\n③「运行日志」：点「诊断包」一键复制（错误 + 警告 + 最近 50 条 + 配置摘要），粘贴给作者最省事。\n④ 签到没反应：先看通知开关、是否在签到窗口内、该目标是否被暂停。	1. "Self-check": lists whether the host reflection anchors are healthy. Check here first for third-party clients (Nagram XF / Nagram / ExteraLess).\n2. "Callback console": lists every button on the panel; tap one to fire it once and see the bot's reply — use it to confirm which button is correct.\n3. "Logs": tap "Diagnostics bundle" to copy errors + warnings + the last 50 lines + a config summary in one go, then paste it to the author.\n4. No response when signing: check the notification toggle, whether you're inside the signing window, and whether the target is paused.
